Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename
,PVC PIPE 63MMX6KG/CM2 (MTR),,95.05,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 75MM X 4KG/CM2 (MTR),,92.25,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 75MM X 6KG/CM2 (MTR),,132.87,0,,0,0,Y,0,0,0,0,Maharashtra
,Elbow 12mm(PP),,2.47,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 90MM X2.5KG/CM2 (MTR),,82.8,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 90MM X4KG/CM2 (MTR),,12880,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 90MM X6KG/CM2 (MTR),,189.11,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 90MMX10KG/CM2 (MTR),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110MM B HDPE Spk Adopter,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110MM B HDPE Spk Bend,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,SOC 63mm HDPE Spk T.P.,,0,0,,0,0,Y,0,0,0,0,Rajasthan
,110MM B HDPE Spk PCN,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110MM B HDPE Spk Tee,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110mm B MDPE Spk Bend,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110mm Coil Nipple,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Elbow 140mm(PVC),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110MM HDPE MOULDED BEND,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110MM HDPE MOULDED BEND(PN6),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110MM HDPE MOULDED PIPE END,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110mm HDPE Spk End Cap,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110MM HDPE Spk Irrig Pipe PT-II(Sample),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,SOC 63MM N HDPE Spk Adopter,,250,0,,0,0,Y,0,0,0,0,Rajasthan
,110MM HDPE Spk MLC,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110mm HDPE Spk Tail Pice,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110MM MDPE PIPE END,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110mm N Spk Rubber Ring,,0,0,,0,0,Y,0,0,0,0,Maharashtra
