Destination Code,Destination Name,ex_for_type
DES05309,BIDHAN NAGAR,FOR
DES05308,BATASI(SLG),FOR
DES05307,BATASI,FOR
DES05306,BAGDOGRA,FOR
DES05305,TELIPARA,FOR
DES05304,SHIVMANDIR,FOR
DES05303,SONAPUR (FALAKATA),FOR
DES05302,RAJGANJ(SLG),FOR
DES05301,ODALBARI (NCB),FOR
DES05300,ODALBARI,FOR
DES05299,NOIRHAT,FOR
DES05298,NAGRAKATA(SLG),FOR
DES05297,NAGARKATA(SLG),FOR
DES05296,MATELI,FOR
DES05295,MALBAZAR,FOR
DES05294,MALBAZAR(SLG),FOR
DES05293,MAINAGURI,FOR
DES05292,MADARIHAT,FOR
DES05291,MADARIHAT(SLG),FOR
DES05290,KAMAKHYAGURI,FOR
DES05289,KAMAKHYAGURI,FOR
DES05288,JOTIAKHALI(SLG),FOR
DES05287,JOTIAKHALI,FOR
DES05286,JALPAIGURI(SLG),FOR
DES05285,JALPAIGURI,FOR
DES05284,HASIMARA,FOR
DES05283,FALAKATA(NJP),FOR
DES05282,ETHELBARI,FOR
DES05281,ETHELBARI(SLG),FOR
DES05280,DHUPGURI (SLG),FOR
DES05279,DHUPGURI(SLG),FOR
DES05278,DELIPARA,FOR
DES05277,CHAMURCHI,FOR
DES05276,CHANGRABANDA(SLG),FOR
DES05275,BIRPARA,FOR
DES05274,BINNAGURI,FOR
DES05273,BELAKOBA,FOR
DES05272,BARABISA,FOR
DES05271,BANARAHAT,FOR
DES05270,BANARHAT(SLG),FOR
DES05269,AAMBARI,FOR
DES05268,AAMBARI(SLG),FOR
DES05267,ALIPURDWAR(JAL),FOR
DES05266,ALIPURDUAR,FOR
DES05265,MAJHIHAR,FOR
DES05264,KASHEN MORE,FOR
DES05263,PRANSAGAR,FOR
DES05262,GOTAHAR,FOR
DES05261,SARBAMANGLA,FOR
DES05260,CHAMPATOLA,FOR
DES05259,SHIB BARI,FOR
DES05258,BOLIPOKHOR,FOR
DES05257,LOUHA NAGAR,FOR
DES05256,KANBAHA,FOR
DES05255,TALUKAMORE,FOR
DES05254,AMINPUR,FOR
DES05253,BOTH TOLI,FOR
DES05252,SHYAM NAGAR,FOR
DES05251,BANGLAPARA,FOR
DES05250,KARGIL MORE,FOR
DES05249,FULBARI (DLK),FOR
DES05248,SAKHABARI,FOR
DES05247,ASHOK GRAM,FOR
DES05246,BOLLA,FOR
DES05245,TRIMOHINI,FOR
DES05244,TEOR,FOR
DES05243,TAPAN,FOR
DES05242,SHUKDEVPUR DDP,FOR
DES05241,RAMPUR -DDP,FOR
DES05240,PATIRAM,FOR
DES05239,NAYA BAZAR(D DINAJPUR),FOR
DES05238,NAROI,FOR
DES05237,MAHIPAL,FOR
DES05236,MAHIPAL,FOR
DES05235,LASKAR HAT,FOR
DES05234,KUSHMANDI,FOR
DES05233,KUMARGANJ,FOR
DES05232,HILLI,FOR
DES05231,HARIRAMPUR,FOR
DES05230,GOPALGANJ,FOR
DES05229,GANGARAMPUR,FOR
DES05228,DETOLHAT,FOR
DES05227,DAULATPUR,FOR
DES05226,BUNIYADPUR,FOR
DES05225,BAUL,FOR
DES05224,BALURGHAT MARKET,FOR
DES05223,BALURGHAT,FOR
DES05222,BANSHIHARI,FOR
DES05221,ABUTARA,FOR
DES05220,GUMANI HAT,FOR
DES05219,ALLARBARI,FOR
DES05218,BAROBARI (SUTKABARI),FOR
DES05217,SALBARAI (TUFANGANJ),FOR
DES05216,ICCHAGANJ,FOR
DES05215,BHAVER HAT (MATHABHANGA),FOR
DES05214,KUSARBARI,FOR
DES05213,CONTROL HAT,FOR
DES05212,BALAJAN,FOR
DES05211,ALOKJHORA,FOR
DES05210,KHATIMARI(NCB),FOR
DES05209,PAANCH KONYA,FOR
DES05208,DAANGI (SAMUKTALA),FOR
DES05207,KHARIJA GOPALPUR (NAYARHAT),FOR
DES05206,BURIR HAT,FOR
DES05205,JAGYANARAYAN KUTHI,FOR
DES05204,MADHUPUR MORE,FOR
DES05203,JORE SIMLI,FOR
DES05202,TOPASHIKATA,FOR
DES05201,GOSANIMARI (SAGARDIGHI GHAT),FOR
DES05200,KALIR HAT,FOR
DES05199,KHETIFULBARI,FOR
DES05198,SHIVPUR,FOR
DES05197,HAJIR DOKAN (MATHABHANGA),FOR
DES05196,DURAR DABRI JAMADOH,FOR
DES05195,GHORGORIA 8TH MILE,FOR
DES05194,NOTUN BOXIRHAT,FOR
DES05193,MAHESHER PAAT,FOR
DES05192,KESHARER HAT,FOR
DES05191,FALAKATA 9TH MILE,FOR
DES05190,NATABARI POLASHTOLI,FOR
DES05189,BHUTNIR GHAT,FOR
