depot code ,destination code ,freight,acedns,date
A105,DES01126,,,
A105,DES01127,,,
A105,DES01128,,,
A105,DES01129,,,
A105,DES01130,,,
A105,DES01131,,,
A105,DES01132,,,
A105,DES01133,,,
A105,DES01134,,,
A105,DES01135,,,
A105,DES01136,,,
A105,DES01137,,,
A105,DES01138,,,
A105,DES01139,,,
A105,DES01140,,,
A105,DES01141,,,
A105,DES01142,,,
A105,DES01143,,,
A105,DES01144,,,
A105,DES01145,,,
A105,DES01146,,,
A105,DES01147,,,
A105,DES01148,,,
A105,DES01149,,,
A105,DES01150,,,
A105,DES01151,,,
A105,DES01152,,,
A105,DES01153,,,
A105,DES01154,,,
A105,DES01155,,,
A105,DES01156,,,
A105,DES01157,,,
A105,DES01158,,,
A105,DES01159,,,
A105,DES01160,,,
A105,DES01161,,,
A105,DES01162,,,
A105,DES01163,,,
A105,DES01164,,,
A105,DES01165,,,
A105,DES01166,,,
A105,DES01167,,,
A105,DES01168,,,
A105,DES01169,,,
A105,DES01170,,,
A105,DES01171,,,
A105,DES01172,,,
A106,DES01173,,,
A106,DES01174,,,
A106,DES01175,,,
A106,DES01176,,,
A106,DES01177,,,
A106,DES01178,,,
A106,DES01179,,,
A106,DES01180,,,
A106,DES01181,,,
A106,DES01182,,,
A106,DES01183,,,
A106,DES01184,,,
A106,DES01185,,,
A106,DES01186,,,
A106,DES01187,,,
A106,DES01188,,,
A106,DES01189,,,
A106,DES01190,,,
A106,DES01191,,,
A106,DES01192,,,
A106,DES01193,,,
A106,DES01194,,,
A106,DES01195,,,
A106,DES01196,,,
A106,DES01197,,,
A106,DES01198,,,
A106,DES01199,,,
A106,DES01200,,,
A106,DES01201,,,
A106,DES01202,,,
A106,DES01203,,,
A106,DES01204,,,
A106,DES01205,,,
A106,DES01206,,,
A106,DES01207,,,
A106,DES01208,,,
A106,DES01209,,,
A106,DES01210,,,
A106,DES01211,,,
A106,DES01212,,,
A106,DES01213,,,
A106,DES01214,,,
A106,DES01215,,,
A106,DES01216,,,
A106,DES01217,,,
A106,DES01218,,,
A106,DES01219,,,
A106,DES01220,,,
A106,DES01221,,,
A106,DES01222,,,
A106,DES01223,,,
A106,DES01224,,,
A106,DES01225,,,
A106,DES01226,,,
A106,DES01227,,,
A106,DES01228,,,
A106,DES01229,,,
A106,DES01230,,,
A106,DES01231,,,
A106,DES01232,,,
A106,DES01233,,,
A106,DES01234,,,
A106,DES01235,,,
A106,DES01236,,,
A106,DES01237,,,
A106,DES01238,,,
A106,DES01239,,,
A106,DES01240,,,
A106,DES01241,,,
A106,DES01242,,,
A106,DES01243,,,
A106,DES01244,,,
A106,DES01245,,,
A106,DES01246,,,
A106,DES01247,,,
A106,DES01248,,,
A106,DES01249,,,
A106,DES01250,,,
A106,DES01251,,,
A106,DES01252,,,
A106,DES01253,,,
A106,DES01254,,,
A106,DES01255,,,
A106,DES01256,,,
A106,DES01257,,,
A106,DES01258,,,
A106,DES01259,,,
A106,DES01260,,,
A106,DES01261,,,
A106,DES01262,,,
A106,DES01263,,,
A106,DES01264,,,
A106,DES01265,,,
