Route Code,Route Name
LOWT0002,"BAJALI1"
LOWT0003,"BAJALI2"
LBA0201,"BAJALI2"
LBA0301,"BAJALI3"
LOWT0004,"BAJALI3"
GA02407,"BAJAR TALI"
TUR3001,"BAJENGDOBA"
TURH0004,"BAJENGDOBA"
EA00244,"BAJKUL"
MUZ0002,"BAJPATTI"
RA02882,"BAJRA"
DA02128,"BAJRANG BAZAR"
DE03002,"BAJRANGI CHOWK"
MA01022,"BAKAHARPUR"
JAL0019,"BAKALI"
BEG0016,"BAKHARI"
KA00316,"BAKHRAHAT"
BEG0024,"BAKHRI"
PA02713,"BAKITHYARPUR"
KA00317,"BAKKHALI"
KO00683,"BAKKHALI"
KO00494,"BAKRA"
WE00961,"BAKRABAD"
NTNE003,"BAKSA"
SHA0012,"BAKSARA"
KO00409,"BAKSARA"
WA01888,"BAKSOTI"
BIR0064,"BAKTORE"
BI00086,"BAKUL"
MO00837,"BAKULIA"
KARB0002,"BAKULIA"
NGN2801,"BAKULIA"
KO00410,"BAKULTALA"
SHA0013,"BAKULTALA"
OTH0070,"BALACHERA"
MO00838,"BALAGARH"
SA02808,"BALAHA"
NDL030,"BALAJAN"
LBO0201,"BALAPARA"
LOWO0003,"BALAPARA"
CO01460,"BALARAMPORE ROAD"
BUR0048,"BALARAMPUR"
NTWB050,"BALARAMPUR"
COO0005,"BALARAMPUR"
COO0007,"BALARAMPUR ROAD"
DA01265,"BALASONE COLONY"
WA01815,"BALBAPAR"
PA02731,"BALCHI"
OTH0312,"BALEMU"
OTH0056,"BALEMU (AP-NT)"
BUR0147,"BALGONA"
LA03227,"BALGUDAR"
BE02578,"BALHA"
RA02990,"BALHARA"
SILK0005,"BALIA"
BE02588,"BALIA"
SIL4901,"BALIA"
MU01398,"BALIA"
BEG0020,"BALIA"
DE03013,"BALIA CHOWKI"
KR00717,"BALIADANGA"
MA01252,"BALIADANGA"
WES0017,"BALICHAK"
EA00293,"BALICHAWK"
WE00962,"BALICHAWK"
DH03195,"BALIDIH"
KO00495,"BALIGANJ"
MO00839,"BALIGURI"
DAN0003,"BALIGURI"
GOL0002,"BALIJAN"
LOWO0064,"BALIJANA"
LA30009,"BALIJANA"
GUWR0006,"BALIKUCHI"
GHY3201,"BALIKUCHI"
BIR0024,"BALIKUNI"
KO20003,"BALINDI"
TEZ2901,"BALIPARA"
OTH0065,"BALIPARA"
OTH0096,"BALIPARA (NT)"
OTH0385,"BALIPARA (TEZPUR)"
TEZ3301,"BALIPARA ROAD"
DA01671,"BALIPUKUR"
KO00411,"BALIPUR"
BUR0057,"BALIPUR"
DNK0002,"BALIPUR"
EA00245,"BALISAHI"
SHA0014,"BALITIKURI"
KO00412,"BALITIKURI"
DH03157,"BALIYAPUR"
BUR0026,"BALIYARPUR"
KR00718,"BALLAVPARA"
RA00914,"BALLAVPUR"
DUM0024,"BALLIA"
SA02817,"BALLIPUR"
KO00413,"BALLY"
SHA0015,"BALLY"
KO10040,"BALLY"
BA00004,"BALSI"
KO20067,"BALTI"
DA01266,"BALUGARA"
DRP0008,"BALUGARA"
NTWB081,"BALUGHAT"
RA02956,"BALUMATH"
RA02957,"BALUMATH"
MA01009,"BALUPUR"
NTWB061,"BALURGHAT"
DA01628,"BALURGHAT"
DA02130,"BALWA"
MA01126,"BAMAN GOLA"
MA01194,"BAMAN GRAM"
KO00605,"BAMANGACHI"
KO00496,"BAMANGHATA"
COO0010,"BAMANHAT"
NTWB155,"BAMNIGAON,DURGAPUR"
MA01010,"BAMONGOLA"
COO0016,"BAMONVITA"
DIB0007,"BAMUNBARI"
OTH0727,"BAMUNBARI (DIBRUGARH)"
GHY0001,"BAMUNDI"
GUWR0007,"BAMUNDI"
KO00414,"BAMUNGACHI"
OTH0114,"BAMUNIMAIDAN"
AGR0016,"BAMUTIA"
RA02973,"BANAGAGH"
SHA0016,"BANAMALINAGAR"
KO00415,"BANAMALINAGAR"
JA01574,"BANARHAT"
NTWB052,"BANARHAT"
COO0025,"BANARHAT-COOCHBIHAR"
DA01363,"BANCHAVITA"
SA02756,"BANDA"
DUM0038,"BANDA"
BI00087,"BANDAR"
BU00236,"BANDAR"
BUR0075,"BANDAR"
OTH0007,"BANDARDEWA"
MO00840,"BANDEL"
NDL003,"BANDERDEWA"
OTH0194,"BANDERDEWA"
BAN0701,"BANDERDEWA"
A107DUM01,"BANDERDEWA (GGU + SCL)"
OTH0715,"BANDERDEWA-AR (AP - BANDERDEWA)"
DH03093,"BANDERKUPI"
GA02332,"BANDHU CHAK KAKO"
GA02401,"BANDHU GANJ"
GA02300,"BANDHU GANJ"
GA02445,"BANDI BHATHANI"
MUZ0042,"BANDRA"
BUR0037,"BANDUL BAZAR"
KO00416,"BANERJEE LANE"
SHA0017,"BANERJEE LANE"
ALI0006,"BANESHWAR"
CO01478,"BANESHWAR"
JA01596,"BANESHWAR MORE"
DRJ0003,"BANESHWAR MORE"
DA01267,"BANESSWAR MORE"
CO01502,"BANESWAR"
COO0004,"BANESWAR"
ALI0005,"BANESWAR"
AL01541,"BANESWAR"
BIR0003,"BANGACHATRA"
UT01705,"BANGALBARI"
GHY0007,"BANGALIPARA"
GUWR0044,"BANGALIPARA"
KO00417,"BANGALPUR"
SHA0018,"BANGALPUR"
WA01913,"BANGANGA"
KR00719,"BANGAON"
KO00497,"BANGUR"
CH02645,"BANIAPUR"
BIR0058,"BANIOR"
DIB1901,"BANIPUR"
KO20035,"BANIPUR"
DAR0008,"BANIPUR"
SI02703,"BANIYPUR"
PUR0059,"BANJORA"
BH01774,"BANKA"
BUR0163,"BANKAPASI"
GA02301,"BANKE BAZAR"
NTWB034,"BANKURA"
BU00165,"BANKURA MORE"
BA00005,"BANKURA TOWN"
DS04DUM01,"BANKURA-2"
SA02250,"BANMA ITAHARI"
PUR00021,"BANMANKHI"
KA02594,"BANMANKHI"
PUR0002,"BANMANKHI"
BUR0112,"BANMASJID"
DRJ0004,"BANSBUTY"
KA00318,"BANSDRONI"
DH03187,"BANSGOIRA"
GA02394,"BANSHI BIGHA"
DA01653,"BANSKURI"
RA02945,"BANTA"
BEG0019,"BANWARIPUR"
TIN0501,"BAR HAPJAN"
TIN0002,"BAR HAPJAN"
BIR0007,"BARABAGAN"
MOG0010,"BARABAINAN"
RNJ0001,"BARABANI"
DUM0033,"BARABANKI"
KO00498,"BARABAZAR"
RA00915,"BARABONI"
KO00606,"BARACHAMPA"
GA02302,"BARACHATTI"
MA01047,"BARADUARI"
KO00571,"BARAHNAGAR"
KO00607,"BARAHNAGAR"
LA03271,"BARAI ,JORNI"
SA02757,"BARAIMPUR"
RA00916,"BARAKAR"
LOWT0005,"BARAMA"
LNA0201,"BARAMA"
KO10066,"BARANAGAR"
OTH0580,"BARAPANI (SHILLONG)"
KO00572,"BARASAT"
KO00608,"BARASAT"
SI02679,"BARAULI"
BE02528,"BARAUNI"
BE02558,"BARAUNI"
BE02567,"BARAUNI FLAG"
KI02738,"BARBATTA"
LNA0301,"BARBHAG"
LOWT0006,"BARBHAG"
WES0034,"BARDA CHAUKHKAN"
WES0041,"BARDA CHAWKAN"
WA01816,"BARDAHA"
DA01368,"BARDHAMAN ROAD"
DRP0110,"BARDHAMAN ROAD"
DRJ0005,"BARDHMAN ROAD"
DRP0134,"BARDHMAN ROAD"
TIN0003,"BARDUMSA"
DIB0045,"BARDUMSA"
GA02446,"BAREW"
DAN0031,"BARGACHIA"
SHA0087,"BARGACHIA"
SHA0019,"BARGRAM"
KO00418,"BARGRAM"
PA02714,"BARH"
OTH0536,"BARHAPJAN (TINSUKIA)"
KA02595,"BARHARA KOTHI"
PUR0006,"BARHARA KOTHI"
SI02680,"BARHARIA"
WA01986,"BARHARIA"
DE03076,"BARHARWA"
RA02982,"BARHI"
LA03234,"BARHIYA"
LA03282,"BARI ASHIQUE NAGAR"
DA01268,"BARIBHASA"
DRH0010,"BARIBHASA"
DRP0010,"BARIBHASA"
DA01390,"BARIBHASA"
TA03361,"BARIDIH"
SIL5101,"BARIGRAM"
SILK0006,"BARIGRAM"
OTH0681,"BARIGRAM (SILCHAR - KARIMGANJ)"
KIS0051,"BARIJAN"
BA00006,"BARIKUL"
WES0014,"BARISA"
SA02293,"BARIYAHI"
LA03351,"BARIYARPUR"
LAX0007,"BARIYARPUR"
BHL0017,"BARIYARPUR"
WA01817,"BARIYARPUR"
RA02903,"BARIYATU"
BA00007,"BARJORA"
RA02940,"BARKAKANA"
RA02983,"BARKATHA"
GHY0010,"BARKHALA"
OTH0230,"BARMA"
DH03131,"BARMASIYA"
KR00720,"BARNIA"
JAL0020,"BARNISH"
BE02566,"BARO BAZAR"
KR00721,"BAROANDULIA"
KR00722,"BAROATTAKI"
AL01527,"BAROBISA-RAMPUR"
CO01517,"BAROBISA-RAMPUR"
ALI0004,"BAROBISHA"
COO0021,"BAROBISHA"
JAL0021,"BARODHIGHI"
DRJ0001,"BARODHIGHI"
UT01706,"BARODUARI"
DA01658,"BAROGACHHI"
NTNE004,"BARPETA"
NDL004,"BARPETA"
LOWT0007,"BARPETA"
OTH0755,"BARPETA ROAD (LOWER ASSAM 2)"
OTH0622,"BARPETA TOWN (LOWER ASSAM 2)"
LBA0401,"BARPETA(LA)"
KO00573,"BARRACKPORE"
KO00609,"BARRACKPORE"
KO00574,"BARRACKPORE (M)"
KO00610,"BARRACKPORE (M)"
GHY5401,"BARSHAPARA"
GUWU0006,"BARSHAPARA"
KAT0004,"BARSOI"
KA02596,"BARSOI"
GA02303,"BARTARA"
PUR0065,"BARTORIA"
DIB10,"BARUAH TINIALI"
DIB0010,"BARUAH TINIALI"
MU01399,"BARUIPARA"
KO10050,"BARUIPUR"
KAL0007,"BARUIPUR"
KO00611,"BARUIPUR (M)"
KA00381,"BARUIPUR (M)"
DH03163,"BARWADA"
MU01400,"BARWAN"
WES0010,"BASANTAPUR"
EA00294,"BASANTI"
KO00612,"BASANTI"
KA00378,"BASANTI."
SUP0047,"BASANTPUR"
SI02681,"BASANTPUR"
WA01987,"BASANTPUR"
SA02295,"BASANTPUR"
BIR0022,"BASAPARA"
LIK0201,"BASAR"
BUR0158,"BASATPUR"
DA02114,"BASAULI"
DA02108,"BASBARIYA"
MO00841,"BASBERIA"
NTWB106,"BASHDAHA NATIBARI"
JAL0022,"BASILARDANGA"
KO00613,"BASIRHAT"
GHY4401,"BASISTHA"
GUWU0007,"BASISTHA"
OTH0538,"BASKANDI (SILCHAR - CACHAR)"
SILC0003,"BASKANDI1"
SIL6201,"BASKANDI1"
SIL6301,"BASKANDI2"
SILC0004,"BASKANDI2"
