Customer Code,Customer Name,April,April Achv.,April prev year,April prev year Achv.,May,May Achv.,May prev year,May prev year Achv.,June,June Achv.,June prev year.,June prev year Achv.,July,July Achv.,July prev year,July prev year Achv.,August,August Achv.,August prev year,August prev year Achv.,September,September Achv.,September prev year,September prev year Achv.,October,October Achv.,October prev year,October prev year Achv.,November,November Achv.,November prev year,November prev year Achv.,December,December Achv.,December prev year,December prev year Achv.,January,January Achv.,January  prev year,January prev year Achv.,February,February Achv.,February  prev year,February  prev year Achv.,March,March Achv.,March prev year,March prev year Achv.
WBM232,MANDAL ENTERPRISE,0,0,300,449.5,0,0,350,353.5,0,0,300,388,0,0,300,400.5,0,0,325,389.25,0,0,325,483.5,0,0,400,321.5,0,0,300,436,0,0,350,590.5,0,0,450,600.8,0,0,500,845,0,0,700,1078.5
WBM251,MAA DURGA ENTERPRISE (DHARAMPUR),0,0,100,240,0,0,150,285,0,0,150,55,0,0,100,90,0,0,100,150,0,0,100,90,0,0,100,120,0,0,70,95,0,0,100,105,0,0,100,35,0,0,150,165,0,0,170,215
WBS227,SUVI POLYMERS PVT LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D120,DAS ENTERPRISE (UTTAR DINAJPUR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K124,KRISHANA HARDWARE (DALKHOLA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S371,SHIB SHANKAR TRADERS (UTTAR DINAJPUR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBC014,CHOWHAN ENTERPRISE,0,0,300,0,0,0,0,20,0,0,500,0,0,0,140,0,0,0,30,0,0,0,200,0,0,0,0,0,0,0,0,10,0,0,200,0,0,0,100,0,0,0,350,0,0,0,150,0
WBG007,GITA ENTERPRISE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBJ057,JOYRAM SARKAR,0,0,300,5,0,0,10,15,0,0,20,12.5,0,0,100,15,0,0,250,11,0,0,75,24,0,0,400,0,0,0,160,0,0,0,150,0,0,0,100,0,0,0,100,0,0,0,300,0
WBM159,M K STEEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
