Destination Code,Destination Name
DES03249,"ANDARIGACHCHI(EX SARAI)"
DES03773,"ANDER EX SIWAN"
DES07339,"ANDHARMANICK (EX RAGHUNATHGANJ)"
DES07338,"ANDHARMANICK (EX- BERHAMPORE)"
DES10524,"ANDHERIGHAT"
DES07340,"ANDHRA GHAT"
DES03465,"ANDHRA MATHH (EX DARBHANGA)"
DES03462,"ANDHRATHADHI (EX DARBHANGA)"
DES07341,"ANDUL"
DES04201,"ANDUL (EX-DANKUNI)"
DES07342,"ANELA"
DES03276,"ANELA  (EX WARS)"
DES04301,"ANGADPUR (EX RNJ)"
DES07343,"ANGADPUR (RNJ)"
DES04302,"ANGADPUR INDUSTIAL AREA (EX RNJ)"
DES07344,"ANGADPUR INDUSTIAL AREA (RNJ)"
DES03650,"ANGAR GHAT (EX SAMASTIPUR)"
DES07345,"ANGARGARIA"
DES03906,"ANGARGORIA (EX-SAITHIA)"
DES07346,"ANGLABAZAR"
DES11231,"ANGRAVASA"
DES11209,"ANGULDEKHA"
DES07347,"ANIPUR"
DES01702,"ANIPUR - ANIPUR"
DES01703,"ANIPUR - BIDYANAGAR"
DES01704,"ANIPUR - CHAMELABAZAR"
DES01705,"ANIPUR - DULLAVCHERRA"
DES01706,"ANIPUR - GANDHI NAGAR"
DES01707,"ANIPUR - KADAMTALA"
DES01708,"ANIPUR - KALIBARI"
DES01709,"ANIPUR - KANAI BAZAR"
DES01710,"ANIPUR - NIVIA"
DES01711,"ANIPUR - R.K. NAGAR"
DES01712,"ANIPUR - RATABARI"
DES03129,"ANISHABAD(EX-FATUA)"
DES07348,"ANTARDWIPA (Ex BEHRM)"
DES07350,"ANTARDWIPA(EX RAGHUNATHGANJ)"
DES07349,"ANTARDWIPA(EX- BERHAMPORE)"
DES05598,"ARABINDO PARK"
DES07351,"ARABINDO PARK (Ex Malda)"
DES07352,"ARALDIH"
DES04668,"ARALDIH EX BANKURA"
DES07353,"Arambagh"
DES04080,"ARAMBAGH EX BURDWAN"
DES07354,"ARANGHATA"
DES04265,"ARANGHATA (EX KNJ)"
DES05599,"ARAPUR"
DES07355,"Arapur (Ex Malda)"
DES02942,"ARARIA"
DES03463,"ARARIA (EX DARBHANGA)"
DES02898,"ARARIA (EX-KISHANGANJ)"
DES03464,"ARER (EX DARBHANGA)"
DES07356,"ARGOAL"
DES04542,"ARGOAL (EX MDNP)"
DES00282,"ARIKUCHI"
DES05600,"ARJUN PUR"
DES07357,"ARJUN PUR (Ex Malda)"
DES10348,"ARJUNPUR"
DES07359,"ARJUNPUR(EX RAGHUNATHGANJ)"
DES07358,"ARJUNPUR(EX- BERHAMPORE)"
DES07360,"ARKAMA"
DES04669,"ARKAMA EX BANKURA"
DES07361,"ARKATIPUR"
DES03091,"ARRAH (EX-FATUWA)"
DES03567,"ARRAH EX DANAPUR"
DES07362,"ARRAHA"
DES04303,"ARRAHA (EX RNJ)"
DES07363,"ARSHA"
DES04809,"ARSHA (EX-PURULIA)"
DES11098,"ARUNACHAL NORTH"
DES10637,"ARUNACHAL NORTH"
DES10638,"ARUNACHAL NORTH"
DES10643,"ARUNACHAL NORTH"
DES02776,"ARWAL (EX GAYA)"
DES10373,"ASANNAGAR"
DES07364,"ASANSOL"
DES04304,"ASANSOL (EX RNJ)"
DES02972,"ASARGANJ(EX LAKHISARAI)"
DES07365,"ASARI"
DES04543,"ASARI (EX MDNP)"
DES03775,"ASAW EX SIWAN"
DES05601,"ASHAPUR"
DES03368,"ASHAPUR (EX DARBHANGA)"
DES07367,"ASHAPUR (Ex Malda)"
DES07366,"ASHAPUR - EX MALDA"
DES03076,"ASHARGANJ (EX-NAUGACHIA)"
DES05456,"ASHIGARH"
DES07368,"ASHIMGANJ"
DES01713,"ASHIMGANJ - ARELIGUL"
DES01714,"ASHIMGANJ - ASHIMGANJ"
